Name,Season,Age,Lg,Tm,RS_G,RS_W,RS_L,RS_W/L%,RS_W > .500,Finish,PS_G,PS_W,PS_L,PS_W/L%,Notes
Rick Adelman,1988-89,42,NBA,POR,35,14,21,0.4,-3.5,5,3,0,3,0,
Rick Adelman,1989-90,43,NBA,POR,82,59,23,0.72,18,2,21,12,9,0.571,WC Champions
Rick Adelman,1990-91,44,NBA,POR,82,63,19,0.768,22,1,16,9,7,0.563,
Rick Adelman,1991-92,45,NBA,POR,82,57,25,0.695,16,1,21,13,8,0.619,WC Champions
Rick Adelman,1992-93,46,NBA,POR,82,51,31,0.622,10,3,4,1,3,0.25,
Rick Adelman,1993-94,47,NBA,POR,82,47,35,0.573,6,4,4,1,3,0.25,
Rick Adelman,1995-96,49,NBA,GSW,82,36,46,0.439,-5,6,,,,,
Rick Adelman,1996-97,50,NBA,GSW,82,30,52,0.366,-11,7,,,,,
Rick Adelman,1998-99,52,NBA,SAC,50,27,23,0.54,2,4,5,2,3,0.4,
Rick Adelman,1999-00,53,NBA,SAC,82,44,38,0.537,3,5,5,2,3,0.4,
Rick Adelman,2000-01,54,NBA,SAC,82,55,27,0.671,14,2,8,3,5,0.375,
Rick Adelman,2001-02,55,NBA,SAC,82,61,21,0.744,20,1,16,10,6,0.625,
Rick Adelman,2002-03,56,NBA,SAC,82,59,23,0.72,18,1,12,7,5,0.583,
Rick Adelman,2003-04,57,NBA,SAC,82,55,27,0.671,14,2,12,7,5,0.583,
Rick Adelman,2004-05,58,NBA,SAC,82,50,32,0.61,9,2,5,1,4,0.2,
Rick Adelman,2005-06,59,NBA,SAC,82,44,38,0.537,3,4,6,2,4,0.333,
Rick Adelman,2006-07,61,NBA,HOU,82,55,27,0.671,14,3,6,2,4,0.333,
Rick Adelman,2007-08,62,NBA,HOU,82,53,29,0.646,12,2,13,7,6,0.538,
Rick Adelman,2008-09,63,NBA,HOU,82,42,40,0.512,1,3,,,,,
Rick Adelman,2010-11,64,NBA,HOU,82,43,39,0.524,2,5,,,,,
Rick Adelman,2011-12,65,NBA,MIN,66,26,40,0.394,-7,5,0,0,0,,
Rick Adelman,2012-13,66,NBA,MIN,82,31,51,0.378,-10,5,0,0,0,,
Rick Adelman,2013-14,67,NBA,MIN,82,40,42,0.488,-1,3,0,0,0,,
Richie Adubato,1979-80,42,NBA,DET,70,12,58,0.171,-23,6,,,,,
Richie Adubato,1989-90,52,NBA,DAL,71,42,29,0.592,6.5,3,3,0,3,0,
Richie Adubato,1990-91,53,NBA,DAL,82,28,54,0.341,-13,6,,,,,
Richie Adubato,1991-92,54,NBA,DAL,82,22,60,0.268,-19,5,,,,,
Richie Adubato,1992-93,55,NBA,DAL,29,2,27,0.069,-12.5,6,,,,,
Richie Adubato,1996-97,59,NBA,ORL,33,21,12,0.636,4.5,3,5,2,3,0.4,
Danny Ainge,1996-97,37,NBA,PHO,74,40,34,0.541,3,4,5,2,3,0.4,
Danny Ainge,1997-98,38,NBA,PHO,82,56,26,0.683,15,3,4,1,3,0.25,
Danny Ainge,1998-99,39,NBA,PHO,50,27,23,0.54,2,3,3,0,3,0,
Danny Ainge,1999-00,40,NBA,PHO,20,13,7,0.65,3,3,,,,,
Stan Albeck,1970-71,39,ABA,DNR,71,27,44,0.38,-8.5,5,,,,,
Stan Albeck,1979-80,48,NBA,CLE,82,37,45,0.451,-4,5,,,,,
Stan Albeck,1980-81,49,NBA,SAS,82,52,30,0.634,11,1,7,3,4,0.429,
Stan Albeck,1981-82,50,NBA,SAS,82,48,34,0.585,7,1,9,4,5,0.444,
Stan Albeck,1982-83,51,NBA,SAS,82,53,29,0.646,12,1,11,6,5,0.545,
Stan Albeck,1983-84,52,NBA,NJN,82,45,37,0.549,4,4,11,5,6,0.455,
Stan Albeck,1984-85,53,NBA,NJN,82,42,40,0.512,1,3,3,0,3,0,
Stan Albeck,1985-86,54,NBA,CHI,82,30,52,0.366,-11,4,3,0,3,0,
LaDell Andersen,1971-72,42,ABA,UTS,84,60,24,0.714,18,1,11,7,4,0.636,
LaDell Andersen,1972-73,43,ABA,UTS,84,55,29,0.655,13,1,10,6,4,0.6,
Jack Ankerson,1975-76,33,ABA,VIR,2,1,1,0.5,0,9,,,,,
Curly Armstrong,1948-49,30,BAA,FTW,54,22,32,0.407,-5,5,,,,,
Al Attles,1969-70,33,NBA,SFW,30,8,22,0.267,-7,6,,,,,
Al Attles,1970-71,34,NBA,SFW,82,41,41,0.5,0,2,5,1,4,0.2,
