"","Player","Age","Tm","G","GS","MP","PER","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","Place_of_Birth","Pos","Ht","Wt","Birth.Date","College","SALARY","Height","International"
"1","Aaron Brooks",31,"CHI",69,0,1108,11.8,0.394,0.136,2,7.5,4.8,26,1.4,0.7,14.2,22.9,99,109,0.2,0.7,0.9,0.04,-0.5,-2.8,-3.3,-0.4,"Washington","G","6-0",161,"January 14, 1985","University of Oregon",2250000,72,"No"
"2","Aaron Gordon",20,"ORL",78,37,1863,17,0.245,0.333,9,21.3,15.1,10.3,1.6,2.4,9,17.3,114,105,3.2,2.2,5.4,0.139,0.6,1.2,1.8,1.8,"California","F","6-9",220,"September 16, 1995","University of Arizona",4171680,81,"No"
"3","Adreian Payne",24,"MIN",52,2,486,5.6,0.221,0.179,4.8,21.5,13.3,8.9,1.7,1.8,18.7,17.7,81,108,-0.9,0.4,-0.5,-0.047,-5.9,-0.2,-6.1,-0.5,"Ohio","F","6-10",237,"February 19, 1991","Michigan State University",1938840,82,"No"
"4","Al Horford",29,"ATL",82,82,2631,19.4,0.244,0.123,6.3,18.2,12.4,16.7,1.3,3.6,8.8,20.6,113,101,4.9,4.5,9.4,0.172,1.5,2.6,4.1,4.1,"Dominican Repulic","F-C","6-10",245,"June 3, 1986","University of Florida",1.2e+07,82,"Yes"
"5","Al Jefferson",31,"CHO",47,18,1096,18.2,0,0.22,5.6,24.6,15,11.8,1.4,3,5.8,24.2,105,102,1,1.8,2.8,0.123,-2.3,1.2,-1.1,0.2,"Mississippi","C-F","6-10",289,"January 4, 1985","",13500000,82,"No"
"6","Al-Farouq Aminu",25,"POR",82,82,2341,12.7,0.485,0.217,4.5,18.6,11.5,8.8,1.5,1.8,13.2,16.9,105,107,1.7,2.3,4,0.082,-0.4,0.7,0.2,1.3,"Georgia","F","6-9",215,"September 21, 1990","Wake Forest University",8042895,81,"No"
"7","Alan Anderson",33,"WAS",13,0,192,9.2,0.627,0.254,0.6,15.5,7.9,10.3,1,0.4,3,15.4,107,108,0.2,0.2,0.3,0.078,-1.2,-1.7,-2.8,0,"Minnesota","G-F","6-6",220,"October 16, 1982","Michigan State University",4e+06,78,"No"
"8","Alec Burks",24,"UTA",31,3,797,14.3,0.237,0.422,2.4,13.6,8,13.9,1.2,0.4,11.4,25.9,104,107,0.7,0.8,1.5,0.09,-0.9,-1.6,-2.5,-0.1,"Missouri","G","6-6",214,"July 20, 1991","University of Colorado",9463484,78,"No"
"9","Alex Len",22,"PHO",78,46,1821,12.4,0.011,0.383,10.4,25.4,17.7,8.5,1,2.8,16.6,20.4,96,107,-0.5,1.8,1.3,0.035,-4.4,0.7,-3.6,-0.7,"Ukraine","C","7-1",260,"June 16, 1993","University of Maryland",3807120,85,"Yes"
"10","Alexis Ajinca",27,"NOP",59,17,861,13.8,0.003,0.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,100,107,0.2,0.9,1,0.058,-4.3,-0.2,-4.5,-0.5,"France","C","7-2",248,"May 6, 1988","",4389607,86,"Yes"
