Season,Team,Division
2015-2016,Toronto Raptors,Atlantic
2015-2016,Boston Celtics,Atlantic
2015-2016,New York Knicks,Atlantic
2015-2016,Brooklyn Nets,Atlantic
2015-2016,Philadelphia 76ers,Atlantic
2015-2016,Cleveland Cavaliers,Central
2015-2016,Indiana Pacers,Central
2015-2016,Detroit Pistons,Central
2015-2016,Chicago Bulls,Central
2015-2016,Milwaukee Bucks,Central
2015-2016,Miami Heat,Southeast
2015-2016,Charlotte Hornets,Southeast
2015-2016,Atlanta Hawks,Southeast
2015-2016,Washington Wizards,Southeast
2015-2016,Orlando Magic,Southeast
2015-2016,Oklahoma City Thunder,Northwest
2015-2016,Portland Trail Blazers,Northwest
2015-2016,Utah Jazz,Northwest
2015-2016,Denver Nuggets,Northwest
2015-2016,Minnesota Timberwolves,Northwest
2015-2016,Golden State Warriors,Pacific
2015-2016,Los Angeles Clippers,Pacific
2015-2016,Sacramento Kings,Pacific
2015-2016,Phoenix Suns,Pacific
2015-2016,Los Angeles Lakers,Pacific
2015-2016,San Antonio Spurs,Southwest
2015-2016,Memphis Grizzlies,Southwest
2015-2016,Dallas Mavericks,Southwest
2015-2016,Houston Rockets,Southwest
2015-2016,New Orleans Pelicans,Southwest
2014-2015,Toronto Raptors,Atlantic
2014-2015,Boston Celtics,Atlantic
2014-2015,New York Knicks,Atlantic
2014-2015,Brooklyn Nets,Atlantic
2014-2015,Philadelphia 76ers,Atlantic
2014-2015,Cleveland Cavaliers,Central
2014-2015,Indiana Pacers,Central
2014-2015,Detroit Pistons,Central
2014-2015,Chicago Bulls,Central
2014-2015,Milwaukee Bucks,Central
2014-2015,Miami Heat,Southeast
2014-2015,Charlotte Hornets,Southeast
2014-2015,Atlanta Hawks,Southeast
2014-2015,Washington Wizards,Southeast
2014-2015,Orlando Magic,Southeast
2014-2015,Oklahoma City Thunder,Northwest
2014-2015,Portland Trail Blazers,Northwest
2014-2015,Utah Jazz,Northwest
2014-2015,Denver Nuggets,Northwest
2014-2015,Minnesota Timberwolves,Northwest
2014-2015,Golden State Warriors,Pacific
2014-2015,Los Angeles Clippers,Pacific
2014-2015,Sacramento Kings,Pacific
2014-2015,Phoenix Suns,Pacific
2014-2015,Los Angeles Lakers,Pacific
2014-2015,San Antonio Spurs,Southwest
2014-2015,Memphis Grizzlies,Southwest
2014-2015,Dallas Mavericks,Southwest
2014-2015,Houston Rockets,Southwest
2014-2015,New Orleans Pelicans,Southwest
2013-2014,Toronto Raptors,Atlantic
2013-2014,Boston Celtics,Atlantic
2013-2014,New York Knicks,Atlantic
2013-2014,Brooklyn Nets,Atlantic
2013-2014,Philadelphia 76ers,Atlantic
2013-2014,Cleveland Cavaliers,Central
2013-2014,Indiana Pacers,Central
2013-2014,Detroit Pistons,Central
2013-2014,Chicago Bulls,Central
2013-2014,Milwaukee Bucks,Central
2013-2014,Miami Heat,Southeast
2013-2014,Charlotte Bobcats,Southeast
2013-2014,Atlanta Hawks,Southeast
2013-2014,Washington Wizards,Southeast
2013-2014,Orlando Magic,Southeast
2013-2014,Oklahoma City Thunder,Northwest
2013-2014,Portland Trail Blazers,Northwest
2013-2014,Utah Jazz,Northwest
2013-2014,Denver Nuggets,Northwest
2013-2014,Minnesota Timberwolves,Northwest
2013-2014,Golden State Warriors,Pacific
2013-2014,Los Angeles Clippers,Pacific
2013-2014,Sacramento Kings,Pacific
2013-2014,Phoenix Suns,Pacific
2013-2014,Los Angeles Lakers,Pacific
2013-2014,San Antonio Spurs,Southwest
2013-2014,Memphis Grizzlies,Southwest
2013-2014,Dallas Mavericks,Southwest
2013-2014,Houston Rockets,Southwest
2013-2014,New Orleans Pelicans,Southwest
2012-2013,Toronto Raptors,Atlantic
2012-2013,Boston Celtics,Atlantic
2012-2013,New York Knicks,Atlantic
2012-2013,Brooklyn Nets,Atlantic
2012-2013,Philadelphia 76ers,Atlantic
2012-2013,Cleveland Cavaliers,Central
2012-2013,Indiana Pacers,Central
2012-2013,Detroit Pistons,Central
2012-2013,Chicago Bulls,Central
2012-2013,Milwaukee Bucks,Central
2012-2013,Miami Heat,Southeast
2012-2013,Charlotte Bobcats,Southeast
2012-2013,Atlanta Hawks,Southeast
2012-2013,Washington Wizards,Southeast
2012-2013,Orlando Magic,Southeast
2012-2013,Oklahoma City Thunder,Northwest
2012-2013,Portland Trail Blazers,Northwest
2012-2013,Utah Jazz,Northwest
2012-2013,Denver Nuggets,Northwest
2012-2013,Minnesota Timberwolves,Northwest
2012-2013,Golden State Warriors,Pacific
2012-2013,Los Angeles Clippers,Pacific
2012-2013,Sacramento Kings,Pacific
2012-2013,Phoenix Suns,Pacific
2012-2013,Los Angeles Lakers,Pacific
2012-2013,San Antonio Spurs,Southwest
2012-2013,Memphis Grizzlies,Southwest
2012-2013,Dallas Mavericks,Southwest
2012-2013,Houston Rockets,Southwest
2012-2013,New Orleans Hornets,Southwest
2011-2012,Toronto Raptors,Atlantic
2011-2012,Boston Celtics,Atlantic
2011-2012,New York Knicks,Atlantic
2011-2012,New Jersey Nets,Atlantic
2011-2012,Philadelphia 76ers,Atlantic
2011-2012,Cleveland Cavaliers,Central
2011-2012,Indiana Pacers,Central
2011-2012,Detroit Pistons,Central
2011-2012,Chicago Bulls,Central
2011-2012,Milwaukee Bucks,Central
2011-2012,Miami Heat,Southeast
2011-2012,Charlotte Bobcats,Southeast
2011-2012,Atlanta Hawks,Southeast
2011-2012,Washington Wizards,Southeast
2011-2012,Orlando Magic,Southeast
2011-2012,Oklahoma City Thunder,Northwest
2011-2012,Portland Trail Blazers,Northwest
2011-2012,Utah Jazz,Northwest
2011-2012,Denver Nuggets,Northwest
2011-2012,Minnesota Timberwolves,Northwest
2011-2012,Golden State Warriors,Pacific
2011-2012,Los Angeles Clippers,Pacific
2011-2012,Sacramento Kings,Pacific
2011-2012,Phoenix Suns,Pacific
2011-2012,Los Angeles Lakers,Pacific
2011-2012,San Antonio Spurs,Southwest
2011-2012,Memphis Grizzlies,Southwest
2011-2012,Dallas Mavericks,Southwest
2011-2012,Houston Rockets,Southwest
2011-2012,New Orleans Hornets,Southwest
2010-2011,Toronto Raptors,Atlantic
2010-2011,Boston Celtics,Atlantic
2010-2011,New York Knicks,Atlantic
2010-2011,New Jersey Nets,Atlantic
2010-2011,Philadelphia 76ers,Atlantic
2010-2011,Cleveland Cavaliers,Central
2010-2011,Indiana Pacers,Central
2010-2011,Detroit Pistons,Central
2010-2011,Chicago Bulls,Central
2010-2011,Milwaukee Bucks,Central
2010-2011,Miami Heat,Southeast
2010-2011,Charlotte Bobcats,Southeast
2010-2011,Atlanta Hawks,Southeast
2010-2011,Washington Wizards,Southeast
2010-2011,Orlando Magic,Southeast
2010-2011,Oklahoma City Thunder,Northwest
2010-2011,Portland Trail Blazers,Northwest
2010-2011,Utah Jazz,Northwest
2010-2011,Denver Nuggets,Northwest
2010-2011,Minnesota Timberwolves,Northwest
2010-2011,Golden State Warriors,Pacific
2010-2011,Los Angeles Clippers,Pacific
2010-2011,Sacramento Kings,Pacific
2010-2011,Phoenix Suns,Pacific
2010-2011,Los Angeles Lakers,Pacific
2010-2011,San Antonio Spurs,Southwest
2010-2011,Memphis Grizzlies,Southwest
2010-2011,Dallas Mavericks,Southwest
2010-2011,Houston Rockets,Southwest
2010-2011,New Orleans Hornets,Southwest
2009-2010,Toronto Raptors,Atlantic
2009-2010,Boston Celtics,Atlantic
2009-2010,New York Knicks,Atlantic
2009-2010,New Jersey Nets,Atlantic
2009-2010,Philadelphia 76ers,Atlantic
2009-2010,Cleveland Cavaliers,Central
2009-2010,Indiana Pacers,Central
2009-2010,Detroit Pistons,Central
2009-2010,Chicago Bulls,Central
2009-2010,Milwaukee Bucks,Central
2009-2010,Miami Heat,Southeast
2009-2010,Charlotte Bobcats,Southeast
2009-2010,Atlanta Hawks,Southeast
2009-2010,Washington Wizards,Southeast
2009-2010,Orlando Magic,Southeast
2009-2010,Oklahoma City Thunder,Northwest
2009-2010,Portland Trail Blazers,Northwest
2009-2010,Utah Jazz,Northwest
2009-2010,Denver Nuggets,Northwest
2009-2010,Minnesota Timberwolves,Northwest
2009-2010,Golden State Warriors,Pacific
2009-2010,Los Angeles Clippers,Pacific
2009-2010,Sacramento Kings,Pacific
2009-2010,Phoenix Suns,Pacific
2009-2010,Los Angeles Lakers,Pacific
2009-2010,San Antonio Spurs,Southwest
2009-2010,Memphis Grizzlies,Southwest
2009-2010,Dallas Mavericks,Southwest
2009-2010,Houston Rockets,Southwest
2009-2010,New Orleans Hornets,Southwest
2008-2009,Toronto Raptors,Atlantic
2008-2009,Boston Celtics,Atlantic
2008-2009,New York Knicks,Atlantic
2008-2009,New Jersey Nets,Atlantic
2008-2009,Philadelphia 76ers,Atlantic
2008-2009,Cleveland Cavaliers,Central
2008-2009,Indiana Pacers,Central
2008-2009,Detroit Pistons,Central
2008-2009,Chicago Bulls,Central
2008-2009,Milwaukee Bucks,Central
2008-2009,Miami Heat,Southeast
2008-2009,Charlotte Bobcats,Southeast
2008-2009,Atlanta Hawks,Southeast
2008-2009,Washington Wizards,Southeast
2008-2009,Orlando Magic,Southeast
2008-2009,Oklahoma City Thunder,Northwest
2008-2009,Portland Trail Blazers,Northwest
2008-2009,Utah Jazz,Northwest
2008-2009,Denver Nuggets,Northwest
2008-2009,Minnesota Timberwolves,Northwest
2008-2009,Golden State Warriors,Pacific
2008-2009,Los Angeles Clippers,Pacific
2008-2009,Sacramento Kings,Pacific
2008-2009,Phoenix Suns,Pacific
2008-2009,Los Angeles Lakers,Pacific
2008-2009,San Antonio Spurs,Southwest
2008-2009,Memphis Grizzlies,Southwest
2008-2009,Dallas Mavericks,Southwest
2008-2009,Houston Rockets,Southwest
2008-2009,New Orleans Hornets,Southwest
2007-2008,Toronto Raptors,Atlantic
2007-2008,Boston Celtics,Atlantic
2007-2008,New York Knicks,Atlantic
2007-2008,New Jersey Nets,Atlantic
2007-2008,Philadelphia 76ers,Atlantic
2007-2008,Cleveland Cavaliers,Central
2007-2008,Indiana Pacers,Central
2007-2008,Detroit Pistons,Central
2007-2008,Chicago Bulls,Central
2007-2008,Milwaukee Bucks,Central
2007-2008,Miami Heat,Southeast
2007-2008,Charlotte Bobcats,Southeast
2007-2008,Atlanta Hawks,Southeast
2007-2008,Washington Wizards,Southeast
2007-2008,Orlando Magic,Southeast
2007-2008,Seattle SuperSonics,Northwest
2007-2008,Portland Trail Blazers,Northwest
2007-2008,Utah Jazz,Northwest
2007-2008,Denver Nuggets,Northwest
2007-2008,Minnesota Timberwolves,Northwest
2007-2008,Golden State Warriors,Pacific
2007-2008,Los Angeles Clippers,Pacific
2007-2008,Sacramento Kings,Pacific
2007-2008,Phoenix Suns,Pacific
2007-2008,Los Angeles Lakers,Pacific
2007-2008,San Antonio Spurs,Southwest
2007-2008,Memphis Grizzlies,Southwest
2007-2008,Dallas Mavericks,Southwest
2007-2008,Houston Rockets,Southwest
2007-2008,New Orleans Hornets,Southwest
2006-2007,Toronto Raptors,Atlantic
2006-2007,Boston Celtics,Atlantic
2006-2007,New York Knicks,Atlantic
2006-2007,New Jersey Nets,Atlantic
2006-2007,Philadelphia 76ers,Atlantic
2006-2007,Cleveland Cavaliers,Central
2006-2007,Indiana Pacers,Central
2006-2007,Detroit Pistons,Central
2006-2007,Chicago Bulls,Central
2006-2007,Milwaukee Bucks,Central
2006-2007,Miami Heat,Southeast
2006-2007,Charlotte Bobcats,Southeast
2006-2007,Atlanta Hawks,Southeast
2006-2007,Washington Wizards,Southeast
2006-2007,Orlando Magic,Southeast
2006-2007,Seattle SuperSonics,Northwest
2006-2007,Portland Trail Blazers,Northwest
2006-2007,Utah Jazz,Northwest
2006-2007,Denver Nuggets,Northwest
2006-2007,Minnesota Timberwolves,Northwest
2006-2007,Golden State Warriors,Pacific
2006-2007,Los Angeles Clippers,Pacific
2006-2007,Sacramento Kings,Pacific
2006-2007,Phoenix Suns,Pacific
2006-2007,Los Angeles Lakers,Pacific
2006-2007,San Antonio Spurs,Southwest
2006-2007,Memphis Grizzlies,Southwest
2006-2007,Dallas Mavericks,Southwest
2006-2007,Houston Rockets,Southwest
2006-2007,Oklahoma City Hornets,Southwest
2005-2006,Toronto Raptors,Atlantic
2005-2006,Boston Celtics,Atlantic
2005-2006,New York Knicks,Atlantic
2005-2006,New Jersey Nets,Atlantic
2005-2006,Philadelphia 76ers,Atlantic
2005-2006,Cleveland Cavaliers,Central
2005-2006,Indiana Pacers,Central
2005-2006,Detroit Pistons,Central
2005-2006,Chicago Bulls,Central
2005-2006,Milwaukee Bucks,Central
2005-2006,Miami Heat,Southeast
2005-2006,Charlotte Bobcats,Southeast
2005-2006,Atlanta Hawks,Southeast
2005-2006,Washington Wizards,Southeast
2005-2006,Orlando Magic,Southeast
2005-2006,Seattle SuperSonics,Northwest
2005-2006,Portland Trail Blazers,Northwest
2005-2006,Utah Jazz,Northwest
2005-2006,Denver Nuggets,Northwest
2005-2006,Minnesota Timberwolves,Northwest
2005-2006,Golden State Warriors,Pacific
2005-2006,Los Angeles Clippers,Pacific
2005-2006,Sacramento Kings,Pacific
2005-2006,Phoenix Suns,Pacific
2005-2006,Los Angeles Lakers,Pacific
2005-2006,San Antonio Spurs,Southwest
2005-2006,Memphis Grizzlies,Southwest
2005-2006,Dallas Mavericks,Southwest
2005-2006,Houston Rockets,Southwest
2005-2006,Oklahoma City Hornets,Southwest
2004-2005,Toronto Raptors,Atlantic
2004-2005,Boston Celtics,Atlantic
2004-2005,New York Knicks,Atlantic
2004-2005,New Jersey Nets,Atlantic
2004-2005,Philadelphia 76ers,Atlantic
2004-2005,Cleveland Cavaliers,Central
2004-2005,Indiana Pacers,Central
2004-2005,Detroit Pistons,Central
2004-2005,Chicago Bulls,Central
2004-2005,Milwaukee Bucks,Central
2004-2005,Miami Heat,Southeast
2004-2005,Charlotte Bobcats,Southeast
2004-2005,Atlanta Hawks,Southeast
2004-2005,Washington Wizards,Southeast
2004-2005,Orlando Magic,Southeast
2004-2005,Seattle SuperSonics,Northwest
2004-2005,Portland Trail Blazers,Northwest
2004-2005,Utah Jazz,Northwest
2004-2005,Denver Nuggets,Northwest
2004-2005,Minnesota Timberwolves,Northwest
2004-2005,Golden State Warriors,Pacific
2004-2005,Los Angeles Clippers,Pacific
2004-2005,Sacramento Kings,Pacific
2004-2005,Phoenix Suns,Pacific
2004-2005,Los Angeles Lakers,Pacific
2004-2005,San Antonio Spurs,Southwest
2004-2005,Memphis Grizzlies,Southwest
2004-2005,Dallas Mavericks,Southwest
2004-2005,Houston Rockets,Southwest
2004-2005,Oklahoma City Hornets,Southwest
2003-2004,New Jersey Nets,Atlantic
2003-2004,Miami Heat,Atlantic
2003-2004,New York Knicks,Atlantic
2003-2004,Boston Celtics,Atlantic
2003-2004,Philadelphia 76ers,Atlantic
2003-2004,Washington Wizards,Atlantic
2003-2004,Orlando Magic,Atlantic
2003-2004,Indiana Pacers,Central
2003-2004,Detroit Pistons,Central
2003-2004,New Orleans Hornets,Central
2003-2004,Milwaukee Bucks,Central
2003-2004,Cleveland Cavaliers,Central
2003-2004,Toronto Raptors,Central
2003-2004,Atlanta Hawks,Central
2003-2004,Chicago Bulls,Central
2003-2004,Minnesota Timberwolves,Midwest
2003-2004,San Antonio Spurs,Midwest
2003-2004,Dallas Mavericks,Midwest
2003-2004,Memphis Grizzlies,Midwest
2003-2004,Houston Rockets,Midwest
2003-2004,Denver Nuggets,Midwest
2003-2004,Utah Jazz,Midwest
2003-2004,Los Angeles Lakers,Pacific
2003-2004,Sacramento Kings,Pacific
2003-2004,Portland Trail Blazers,Pacific
2003-2004,Golden State Warriors,Pacific
2003-2004,Seattle SuperSonics,Pacific
2003-2004,Phoenix Suns,Pacific
2003-2004,Los Angeles Clippers,Pacific
2002-2003,New Jersey Nets,Atlantic
2002-2003,Miami Heat,Atlantic
2002-2003,New York Knicks,Atlantic
2002-2003,Boston Celtics,Atlantic
2002-2003,Philadelphia 76ers,Atlantic
2002-2003,Washington Wizards,Atlantic
2002-2003,Orlando Magic,Atlantic
2002-2003,Indiana Pacers,Central
2002-2003,Detroit Pistons,Central
2002-2003,New Orleans Hornets,Central
2002-2003,Milwaukee Bucks,Central
2002-2003,Cleveland Cavaliers,Central
2002-2003,Toronto Raptors,Central
2002-2003,Atlanta Hawks,Central
2002-2003,Chicago Bulls,Central
2002-2003,Minnesota Timberwolves,Midwest
2002-2003,San Antonio Spurs,Midwest
2002-2003,Dallas Mavericks,Midwest
2002-2003,Memphis Grizzlies,Midwest
2002-2003,Houston Rockets,Midwest
2002-2003,Denver Nuggets,Midwest
2002-2003,Utah Jazz,Midwest
2002-2003,Los Angeles Lakers,Pacific
2002-2003,Sacramento Kings,Pacific
2002-2003,Portland Trail Blazers,Pacific
2002-2003,Golden State Warriors,Pacific
2002-2003,Seattle SuperSonics,Pacific
2002-2003,Phoenix Suns,Pacific
2002-2003,Los Angeles Clippers,Pacific
2001-2002,New Jersey Nets,Atlantic
2001-2002,Miami Heat,Atlantic
2001-2002,New York Knicks,Atlantic
2001-2002,Boston Celtics,Atlantic
2001-2002,Philadelphia 76ers,Atlantic
2001-2002,Washington Wizards,Atlantic
2001-2002,Orlando Magic,Atlantic
2001-2002,Indiana Pacers,Central
2001-2002,Detroit Pistons,Central
2001-2002,Charlotte Hornets,Central
2001-2002,Milwaukee Bucks,Central
2001-2002,Cleveland Cavaliers,Central
2001-2002,Toronto Raptors,Central
2001-2002,Atlanta Hawks,Central
2001-2002,Chicago Bulls,Central
2001-2002,Minnesota Timberwolves,Midwest
2001-2002,San Antonio Spurs,Midwest
2001-2002,Dallas Mavericks,Midwest
2001-2002,Memphis Grizzlies,Midwest
2001-2002,Houston Rockets,Midwest
2001-2002,Denver Nuggets,Midwest
2001-2002,Utah Jazz,Midwest
2001-2002,Los Angeles Lakers,Pacific
2001-2002,Sacramento Kings,Pacific
2001-2002,Portland Trail Blazers,Pacific
2001-2002,Golden State Warriors,Pacific
2001-2002,Seattle SuperSonics,Pacific
2001-2002,Phoenix Suns,Pacific
2001-2002,Los Angeles Clippers,Pacific
2000-2001,New Jersey Nets,Atlantic
2000-2001,Miami Heat,Atlantic
2000-2001,New York Knicks,Atlantic
2000-2001,Boston Celtics,Atlantic
2000-2001,Philadelphia 76ers,Atlantic
2000-2001,Washington Wizards,Atlantic
2000-2001,Orlando Magic,Atlantic
2000-2001,Indiana Pacers,Central
2000-2001,Detroit Pistons,Central
2000-2001,Charlotte Hornets,Central
2000-2001,Milwaukee Bucks,Central
2000-2001,Cleveland Cavaliers,Central
2000-2001,Toronto Raptors,Central
2000-2001,Atlanta Hawks,Central
2000-2001,Chicago Bulls,Central
2000-2001,Minnesota Timberwolves,Midwest
2000-2001,San Antonio Spurs,Midwest
2000-2001,Dallas Mavericks,Midwest
2000-2001,Vancouver Grizzlies,Midwest
2000-2001,Houston Rockets,Midwest
2000-2001,Denver Nuggets,Midwest
2000-2001,Utah Jazz,Midwest
2000-2001,Los Angeles Lakers,Pacific
2000-2001,Sacramento Kings,Pacific
2000-2001,Portland Trail Blazers,Pacific
2000-2001,Golden State Warriors,Pacific
2000-2001,Seattle SuperSonics,Pacific
2000-2001,Phoenix Suns,Pacific
2000-2001,Los Angeles Clippers,Pacific
