Player,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College
Alaa Abdelnaby,Egypt,Black and White,1991,1995,F-C,6-10,240,"June 24, 1968",Duke University
Kareem Abdul-Jabbar*,New York,Black,1970,1989,C,7-2,225,"April 16, 1947","University of California, Los Angeles"
Mahmoud Abdul-Rauf,Mississippi,Black,1991,2001,G,6-1,162,"March 9, 1969",Louisiana State University
Tariq Abdul-Wahad,France,White,1998,2003,F,6-6,223,"November 3, 1974",San Jose State University
Shareef Abdur-Rahim,Georgia,Black,1997,2008,F,6-9,225,"December 11, 1976",University of California
Alex Acker,California,Black,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine University
Mark Acres,California,Black and White,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts University
Quincy Acy,Texas,Black,2013,2016,F,6-7,240,"October 6, 1990",Baylor University
Alvan Adams,Kansas,Black and White,1976,1988,C-F,6-9,210,"July 19, 1954",University of Oklahoma
Hassan Adams,California,Black,2007,2009,G,6-4,220,"June 20, 1984",University of Arizona
Jordan Adams,Georgia,Black,2015,2016,G,6-5,209,"July 8, 1994","University of California, Los Angeles"
Michael Adams,Connecticut,Black,1986,1996,G,5-10,162,"January 19, 1963",Boston College
Steven Adams,New zealand,White,2014,2016,C,7-0,255,"July 20, 1993",University of Pittsburgh
Rafael Addison,New Jersey,Black,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse University
Jeff Adrien,Massachusetts,Black,2011,2015,F,6-7,245,"February 10, 1986",University of Connecticut
Arron Afflalo,California,Black,2008,2016,G,6-5,210,"October 15, 1985","University of California, Los Angeles"
Maurice Ager,Michigan,Black and White,2007,2011,G,6-5,202,"February 9, 1984",Michigan State University
Mark Aguirre,Illinors,Black,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul University
Blake Ahearn,Missouri,White,2008,2012,G,6-2,190,"May 27, 1984",Missouri State University
Danny Ainge,Oregon,White,1982,1995,G,6-4,175,"March 17, 1959",Brigham Young University
Alexis Ajinca,France,White,2009,2016,C,7-2,248,"May 6, 1988",
Josh Akognon,California,Black and White,2013,2013,G,5-11,185,"February 10, 1986","California State University, Fullerton"
Solomon Alabi,Nigeria,Black,2011,2012,C,7-1,251,"March 21, 1988",Florida State University
Mark Alarie,Arizona,White,1987,1991,F,6-8,217,"December 11, 1963",Duke University
Furkan Aldemir,Turkey,White,2015,2015,F-C,6-10,240,"August 9, 1991",
Cole Aldrich,Minnesota,White,2011,2016,C,6-11,250,"October 31, 1988",University of Kansas
LaMarcus Aldridge,Texas,Black,2007,2016,F,6-11,240,"July 19, 1985",University of Texas at Austin
Chuck Aleksinas,Connecticut,Black and White,1985,1985,C,6-11,260,"February 26, 1959",University of Connecticut
Cliff Alexander,Illinois,Black,2016,2016,F,6-8,240,"November 16, 1995",University of Kansas
Cory Alexander,Virginia,Black,1996,2005,G,6-1,185,"June 22, 1973",University of Virginia
Courtney Alexander,Connecticut,Black,2001,2003,G,6-5,205,"April 27, 1977","California State University, Fresno"
Gary Alexander,Florida,Black,1994,1994,F,6-7,240,"November 1, 1969",University of South Florida
Joe Alexander,Taiwan,Others,2009,2010,F,6-8,230,"December 26, 1986",West Virginia University
Victor Alexander,Michigan,Black,1992,2002,C-F,6-9,265,"August 31, 1969",Iowa State University
Steve Alford,Indiana,Black,1988,1991,G,6-2,183,"November 23, 1964",Indiana University
Jerome Allen,Pennsylvania,Black,1996,1997,G,6-4,184,"January 28, 1973",University of Pennsylvania
Lavoy Allen,Pennsylvania,Black,2012,2016,F-C,6-9,255,"February 4, 1989",Temple University
Malik Allen,New Jersey,Black,2002,2011,F,6-10,255,"June 27, 1978",Villanova University
Randy Allen,Florida,Black,1989,1990,F,6-8,220,"January 26, 1965",Florida State University
Ray Allen,California,Black,1997,2014,G,6-5,205,"July 20, 1975",University of Connecticut
Tony Allen,Illinois,Black,2005,2016,G-F,6-4,213,"January 11, 1982",Oklahoma State University
Lance Allred,Utah,Black and White,2008,2008,C,6-11,250,"February 2, 1981",Weber State University
Morris Almond,Georgia,Black,2008,2012,G,6-6,225,"February 2, 1985",Rice University
Derrick Alston,New York,Black,1995,1997,F,6-11,225,"August 20, 1972",Duquesne University
Rafer Alston,New York,Black,2000,2010,G,6-2,171,"July 24, 1976","California State University, Fresno"
Peter Aluma,Nigeria,Black,1999,1999,C,6-10,260,"April 23, 1973",Liberty University
John Amaechi,Massachusetts,Black and White,1996,2003,C-F,6-10,270,"November 26, 1970",Pennsylvania State University
Ashraf Amaya,Illinois,Black,1996,1997,F,6-8,230,"November 23, 1971",Southern Illinois University
Al-Farouq Aminu,Georgia,Black,2011,2016,F,6-9,215,"September 21, 1990",Wake Forest University
Lou Amundson,California,Black and White,2007,2016,F,6-9,220,"December 7, 1982","University of Nevada, Las Vegas"
Chris Andersen,California,Black and White,2002,2016,F-C,6-10,245,"July 7, 1978",Blinn College
David Andersen,Australia,White,2010,2011,C,6-11,245,"June 23, 1980",
Alan Anderson,Minnesota,Black,2006,2016,G-F,6-6,220,"October 16, 1982",Michigan State University
Antonio Anderson,Massachusetts,Black,2010,2010,G,6-6,215,"June 5, 1985",University of Memphis
Derek Anderson,Kentucky,Black,1998,2008,G,6-5,194,"July 18, 1974",University of Kentucky
Eric Anderson,Illinors,Black,1993,1994,F,6-9,220,"May 26, 1970",Indiana University
Greg Anderson,Texas,Black,1988,1998,F-C,6-10,230,"June 22, 1964",University of Houston
J.J. Anderson,Illinors,Black,1983,1985,F,6-8,195,"September 23, 1960",Bradley University
James Anderson,Arkansas,Black,2011,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State University
Justin Anderson,Virginia,Black,2016,2016,G,6-6,228,"November 19, 1993",University of Virginia
Kenny Anderson,New York,Black,1992,2005,G,6-0,168,"October 9, 1970",Georgia Institute of Technology
Kyle Anderson,New York,Others,2015,2016,G-F,6-9,230,"September 20, 1993","University of California, Los Angeles"
Michael Anderson,Pennsylvania,Black,1989,1989,G,5-11,184,"March 23, 1966",Drexel University
Nick Anderson,Illinors,Black,1990,2002,F-G,6-6,205,"January 20, 1968",University of Illinois at Urbana-Champaign
Richard Anderson,California,Black,1983,1990,F-C,6-10,240,"November 19, 1960","University of California, Santa Barbara"
Ron Anderson,Illinors,Black,1985,1994,F-G,6-7,215,"October 15, 1958","California State University, Fresno"
Ryan Anderson,California,Black and White,2009,2016,F,6-10,240,"May 6, 1988",University of California
Shandon Anderson,Georgia,Black,1997,2006,F-G,6-6,208,"December 31, 1973",University of Georgia
Willie Anderson,South Carolina,Black,1989,1997,G-F,6-7,190,"January 8, 1967",University of Georgia
Martynas Andriuskevicius,Lithuania,White,2006,2006,C,7-2,240,"March 12, 1986",
Michael Ansley,Alabama,Black,1990,1992,F,6-7,225,"February 8, 1967",University of Alabama
Chris Anstey,Australia,White,1998,2000,C,7-0,249,"January 1, 1975",
Giannis Antetokounmpo,Greece,Black,2014,2016,F-G,6-11,222,"December 6, 1994",
Thanasis Antetokounmpo,Greece,Black,2016,2016,F,6-7,205,"July 17, 1992",
Carmelo Anthony,New York,Black,2004,2016,F,6-8,240,"May 29, 1984",Syracuse University
Greg Anthony,Nevada,Black,1992,2002,G,6-0,176,"November 15, 1967","University of Nevada, Las Vegas"
Joel Anthony,Canada,Black,2008,2016,C,6-9,245,"August 9, 1982","University of Nevada, Las Vegas"
Pero Antic,Macedonia,White,2014,2015,F,6-11,260,"July 29, 1982",
Keith Appling,Michigan,Black,2016,2016,G,6-1,185,"February 13, 1992",Michigan State University
Rafael Araujo,Brazil,Black and White,2005,2007,C,6-11,280,"August 12, 1980",Brigham Young University
Robert Archibald,Scotland,White,2003,2004,F,6-11,250,"March 29, 1980",University of Illinois at Urbana-Champaign
Gilbert Arenas,California,Black,2002,2012,G,6-3,191,"January 6, 1982",University of Arizona
Trevor Ariza,California,Black,2005,2016,F,6-8,215,"June 30, 1985","University of California, Los Angeles"
Joe Arlauckas,New York,Black,1988,1988,F,6-9,230,"July 20, 1965",Niagara University
B.J. Armstrong,Michigan,Black,1990,2000,G,6-2,175,"September 9, 1967",University of Iowa
Brandon Armstrong,California,Black,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine University
Darrell Armstrong,North Carolina,Black,1995,2008,G,6-0,170,"June 22, 1968",Fayetteville State University
Hilton Armstrong,New York,Black,2007,2014,F-C,6-11,235,"November 11, 1984",University of Connecticut
Carlos Arroyo,Puerto Rico,White,2002,2011,G,6-2,202,"July 30, 1979",Florida International University
Darrell Arthur,Texas,Black,2009,2016,F,6-9,235,"March 25, 1988",University of Kansas
Omer Asik,Turkey,White,2011,2016,C,7-0,255,"July 4, 1986",
Vincent Askew,Tennessee,Black,1988,1998,G-F,6-6,210,"February 28, 1966",University of Memphis
Keith Askins,Alabama,Black,1991,1999,G-F,6-7,197,"December 15, 1967",University of Alabama
Chucky Atkins,Florida,Black,2000,2010,G,5-11,160,"August 14, 1974",University of South Florida
Stacey Augmon,California,Black,1992,2006,F-G,6-8,205,"August 1, 1968","University of Nevada, Las Vegas"
D.J. Augustin,Louisiana,Black,2009,2016,G,6-0,183,"November 10, 1987",University of Texas at Austin
James Augustine,Illinors,Black,2007,2008,F,6-10,235,"February 27, 1984",University of Illinois at Urbana-Champaign
Isaac Austin,California,Black,1992,2002,C,6-10,255,"August 18, 1969",Arizona State University
Anthony Avent,North Carolina,Black,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall University
William Avery,Georgia,Black,2000,2002,G,6-2,197,"August 8, 1979",Duke University
Gustavo Ayon,Mexico,Others,2012,2014,C,6-10,250,"April 1, 1985",
Jeff Ayres,California,Black and White,2010,2016,F,6-9,240,"April 29, 1987",Arizona State University
Kelenna Azubuike,England,Black,2007,2012,G,6-5,220,"December 16, 1983",University of Kentucky
Chris Babb,Texas,Black,2014,2014,G,6-5,225,"February 14, 1990",Iowa State University
Luke Babbitt,Ohio,White,2011,2016,F,6-9,225,"June 20, 1989","University of Nevada, Reno"
Milos Babic,Serbia,White,1991,1992,C-F,7-0,240,"November 23, 1968",Tennessee Technological University
Dalibor Bagaric,Munich,White,2001,2003,C,7-1,255,"February 7, 1980",
John Bagley,Connecticut,Black,1983,1994,G,6-0,185,"April 23, 1960",Boston College
James Bailey,Georgia,Black,1980,1988,F-C,6-9,220,"May 21, 1957",Rutgers University
Thurl Bailey,District of Columbia,Black,1984,1999,F-C,6-11,215,"April 7, 1961",North Carolina State University
Toby Bailey,California,Black,1999,2000,G,6-6,213,"November 19, 1975","University of California, Los Angeles"
Cameron Bairstow,Australia,White,2015,2016,F-C,6-9,250,"December 7, 1990",University of New Mexico
LaMark Baker,Ohio,Black,1999,1999,G,6-1,175,"November 11, 1969",Ohio State University
