SEASON,RK,NAME,TEAM,SALARY
1999-2000,35,"Alan Henderson, PF",Atlanta Hawks,5318000
1999-2000,52,"Lorenzen Wright, PF",Atlanta Hawks,4400000
1999-2000,104,"Chris Crawford, SF",Atlanta Hawks,2e+06
1999-2000,116,"Jason Terry, SG",Atlanta Hawks,1468000
1999-2000,128,"Cal Bowdler, F",Atlanta Hawks,1025000
1999-2000,132,"Roshown McLeod, F",Atlanta Hawks,914000
1999-2000,133,"Dion Glover, SG",Atlanta Hawks,893000
2000-2001,62,"Alan Henderson, PF",Atlanta Hawks,5909000
2000-2001,85,"Lorenzen Wright, PF",Atlanta Hawks,4950000
2000-2001,174,"Chris Crawford, SF",Atlanta Hawks,2250000
2000-2001,188,"DerMarr Johnson, SF",Atlanta Hawks,2107000
2000-2001,209,"Jason Terry, SG",Atlanta Hawks,1579000
2000-2001,240,"Cal Bowdler, F",Atlanta Hawks,1102000
2000-2001,250,"Dion Glover, SG",Atlanta Hawks,960000
2000-2001,288,"Matt Maloney, G",Atlanta Hawks,548000
2000-2001,315,"Hanno Mottola, C",Atlanta Hawks,316000
2001-2002,37,"Theo Ratliff, C",Atlanta Hawks,8593000
2001-2002,41,"Toni Kukoc, SF",Atlanta Hawks,8050000
2001-2002,53,"Alan Henderson, PF",Atlanta Hawks,6500000
2001-2002,94,"Nazr Mohammed, C",Atlanta Hawks,4500000
2001-2002,166,"Chris Crawford, SF",Atlanta Hawks,2500000
2001-2002,188,"DerMarr Johnson, SF",Atlanta Hawks,2265000
2001-2002,217,"Jason Terry, SG",Atlanta Hawks,1689000
2001-2002,251,"Cal Bowdler, F",Atlanta Hawks,1179000
2001-2002,260,"Dion Glover, SG",Atlanta Hawks,1027000
2001-2002,293,"Emanual Davis, G",Atlanta Hawks,715000
2001-2002,310,"Jacque Vaughn, PG",Atlanta Hawks,590000
2001-2002,328,"Mark Strickland, F",Atlanta Hawks,539000
2001-2002,345,"Hanno Mottola, C",Atlanta Hawks,465000
2002-2003,32,"Glenn Robinson, SF",Atlanta Hawks,9860000
2002-2003,34,"Theo Ratliff, C",Atlanta Hawks,9375000
2002-2003,49,"Alan Henderson, PF",Atlanta Hawks,7091000
2002-2003,78,"Nazr Mohammed, C",Atlanta Hawks,5130000
2002-2003,150,"Matt Maloney, G",Atlanta Hawks,2775000
2002-2003,152,"Chris Crawford, SF",Atlanta Hawks,2750000
2002-2003,179,"Jason Terry, SG",Atlanta Hawks,2153000
2002-2003,198,"Dion Glover, SG",Atlanta Hawks,1584000
